Wallet,Pattern ID,Role,Date Decouverte,Score Initial,Score Qualify,Statut,Date Debut Surveillance,Jours Suivis,Nb Trades,PnL (SOL),PnL (USD),Win Rate (%),Lien Tracker,Date Decision,Notes
EDXMMnXryTEPBJdk8c7bt9sMdzxZVkmGKVFQsNrA7NCY,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"spray: wallet createur de 7 tokens seul (dev_tokens=7) -- jamais un pattern CEX valide, meme score eleve"
DsU5Up8wYJ7skNfxxv5NDZ2iGgwJxUZbgwPs7TvqS53m,,createur,2026-08-06,100,reject,Ecarte,,0,,,,,,2026-08-06,"spray: wallet createur de 9 tokens seul (dev_tokens=9) -- jamais un pattern CEX valide, meme score eleve"
CfkaAru9ArJ2tAStYHvbAyRBJL3EhDzsWYV2KYg9shxB,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"spray: wallet createur de 15 tokens seul (dev_tokens=15) -- jamais un pattern CEX valide, meme score eleve"
HvHJ1qRpj3Cx15cGDtHW6hgsxsV373rLXHA56HDNgN5R,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"spray: wallet createur de 2 tokens seul (dev_tokens=2) -- jamais un pattern CEX valide, meme score eleve"
HNYaRpeWVukv2pDihHQ9B6YA8UzsPf8eC8npWebQGed7,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"spray: wallet createur de 4 tokens seul (dev_tokens=4) -- jamais un pattern CEX valide, meme score eleve"
7nUVLZ5xD9hcpWkY8png5AuKifWnjKta6jWewtF54UJG,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"spray: wallet createur de 7 tokens seul (dev_tokens=7) -- jamais un pattern CEX valide, meme score eleve"
31KhNoxHnoscN4Ehzd2XE9ntauB5EeAk4L5Uw9s8H6RP,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"spray: wallet createur de 4 tokens seul (dev_tokens=4) -- jamais un pattern CEX valide, meme score eleve"
5ua1b1Tv4vz5SDqtX6amcxX5x4Vc3CDkiDeoAAxBVyQD,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"Funded by: 4ct7br2vTPzfdmY3S5HLtTxcGSBfn6pnw98hsS6v359A (0.003734389 SOL). funding source is a generic wallet (not a named CEX), not a reusable CEX method"
8oH3mqcWN5aJ6qB3J86SmJoDCywT7qPPhr5CiUp7ANU7,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"Funded by: 2Vgmp9bTNzvj1D5XaFNdUtNDxaRFH2UGPJXrcUPVGj1B / hub (154.324498 SOL). funding source is a generic hub wallet (not a named CEX), not a reusable CEX method"
Hp75uShC5Q8UH3sqMNwMHC6n3n3rFy5hVw9YTE1vMvdX,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"spray: wallet createur de 3 tokens seul (dev_tokens=3) -- jamais un pattern CEX valide, meme score eleve"
F7ksW7sCgUVy4NCboC9zowG3WtJ9A4aBg7HmmYHpG8EF,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"spray: wallet createur de 11 tokens seul (dev_tokens=11) -- jamais un pattern CEX valide, meme score eleve"
811fAKQZCqeSdgkA6i5wpnNPfYdZpT6VWgK14HtJMYLP,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"funder direct non labellise (D64ajBtPfuuAGtnGnsiqsxwTXX2EDk8j1dHqMF7bi6YR, 8.23 SOL) -- profil hub/routeur (flux entrants 316/289/209 SOL sur des dizaines de tx, dont un flux Binance 207 SOL/12 tx noye dans le volume) : pas d'evenement de financement hair-thin isole exploitable, ressemble a un hub de rotation (9 liens) plutot qu'un enfant Method-1"
AqpkLaRV7fNgDrB2LMsxqFsMBqF4gJioFLhJzHB36YCu,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"Funded by: 8mowmVCEewZ9W2cEaQyQeQEeSxhGr1hvRviLwozwNtBt / hub (7.886779 SOL). funding source is a generic hub wallet (not a named CEX) -- meme funder generique deja vu sur GvE6nrjz6Ya9aZvgpU4D5HteWFHpDfKP6k3eCArwBjP7, pas une methode CEX reproductible"
